From,To,Number of Visit,Date
Webster Farm Main,Aunt Zerviah's House,1,01/11/1866
Webster Farm Main,Aunt Zerviah's House,2,01/23/1866
Webster Farm Main,Aunt Zerviah's House,3,03/30/1866
Webster Farm Main,Aunt Zerviah's House,4,04/04/1866
Aunt Zerviah's House,Webster Farm Main,5,02/28/1867
Aunt Zerviah's House,Webster Farm Main,6,03/20/1867
Webster Farm Main,Aunt Zerviah's House,7,05/14/1867
Aunt Zerviah's House,Webster Farm Main,8,05/28/1867
Webster Farm Main,Aunt Zerviah's House,9,08/04/1867
Webster Farm Main,Aunt Zerviah's House,10,10/16/1867
Webster Farm Main,Aunt Zerviah's House,11,11/13/1867
Webster Farm Main,Aunt Zerviah's House,12,12/16/1867
Webster Farm Main,Aunt Zerviah's House,13,12/18/1867
