month,date,name,sickness,quote
January,1866-10-01,Celestia Webster,severe headache,"Had a severe headache when I awoke and did not get up till eight o’clock, was in time for breakfast however."
January,1866-12-01,Celestia Webster,headache,Felt miserable again this morning having a dull headache still and paining me much whenever I bowed my head.
January,1866-30-01,Celestia Webster,hands stiff from sewing,"In the morning my hands were so stiff that I could hardly use them, but commenced sewing on Lawrence’s clothes and spent the day sewing."
February,1866-03-02,Celestia Webster,severe headache, I arose with a severe headache which continued all day making me feel miserable enough 
February,1866-04-02,Celestia Webster,severe headache,"Spent a miserable night, my head pained me so, was very restless indeed waking up often arose at half past eight o’clock, read a few chapters from Hebrews, but found I could not read on account of my head Therefore I sit or lopped around on the lounges listening to what the others were doing or else communing with my own thoughts, which were not very pleasant"
March,1866-28-03,Celestia Webster,headache,Awoke with a headache which continued to grow worse during the day.  I sewed some in the forenoon but it made my headache worse...at dinner time I could scarcely eat and went to bed at seven o’clock P.M
April,1866-20-04,Celestia Webster,fell over fence - hurt limb,fall over a fence and hurt one of my limbs considerably beside making quite a rent in my stocking...was forced after my fall to limp some as I walked
May,1866-17-05,Celestia Webster,fatigue,More pleasant. School with its duties occupied my time & I can say that when not worn out I enjoy the labors of the school room.
May,1866-19-05,Celestia Webster,severe headache," Arose with a severe headache...My head ached severely & I gave up work a little before night and lay down to rest, my eyes fell"
May,1866-21-05,Celestia Webster,cold maybe the mumps,My cold is not much if any better - I have the chance of being exposed so many times that I expect to have them (exposure to mumps) 
May,1866-22-05,Celestia Webster,cold maybe the mumps,My cold is about the same
June,1866-10-06,Celestia Webster,headache,"My head felt very badly, but this morning it was better"
July,1866-26-07,Celestia Webster,stomachache,"I by that time way feeling very badly, Something that I had eaten or else the cold water that I drank caused one to feel miserably "
July,1866-27-07,Celestia Webster,recovering from stomachache,"Felt some better this morning than I did last night, though I could eat but little breakfast"
August,1866-19-08,Celestia Webster,headache,My head is aching today...I went to bed after breakfast my head felt so bad and did not get up till after twelve o’clock 
September,1866-01-09,Celestia Webster,headache, By the time i got through with them my head felt very bad
September,1866-15-09,Celestia Webster,severe headache,I had a severe headache 
October,1866-22-10,Celestia Webster,sore arm,My arm is quite lame from my forenoons work
November,1866-01-11,Celestia Webster,eyes hurting,"In the evening worked at hair flowers. It is too hard work for my eyes. I feel sensible of it, and were it not that I do not wish to have their flowers spoiled I would not work at it."
November,1866-19-11,Celestia Webster,severe headache,having a severe pain in my head
November,1866-11-11,Celestia Webster,fatigue,"“Prov. 13.22 A good man leaveth an inheritance to his children’s children” For some reason I did not feel very much interested, was very sleepy "
November,1866-16-11,Celestia Webster,fatigue,"Most of the scholars were present. I got pretty tired. Started for home met Mr. W. and Eune, they were coming after me. I was pleased for it was raining"
November,1866-19-11,Celestia Webster,fatigue,"I became very tired before school closed besides having a severe pain in my head. I tried to feel thankful it was no worse, I have had much worse pain in my head Came home, perfectly willing to rest my wearied limbs."
November,1866-20-11,Celestia Webster,fatigue,... but concluded I did not care for I was completely tired out and chose to ride instead of walking. School was full as usual. I forgot to bring home my roll tonight. Hope I shall find it safe in the morning. Am exceedingly tired.
November,1866-27-11,Celestia Webster,fatigue,"...when I arose, was not feeling very well last night, and was glad that I had the privilege of lying in bed and resting and was tired most out"
November,1866-29-11,Celestia Webster,feeling sick,"We had a very pleasant time I felt bad, and was glad to get home, when I took a large dose of ginger"
November,1866-30-11,Celestia Webster,feeling sick,"I have not felt very well, and I’m tired out tonight"
December,1866-01-12,Celestia Webster,feeling sick,I am not feeling very well
December,1866-02-12,Celestia Webster,fatigue,School passed off very well. I am very tired tired tonight have done but very little finished my stocking
December,1866-09-12,Celestia Webster,fatigue,Eld. Brown preached. Text. Had a very good discourse only he repeated considerable Became very tired and did not attend in the evening
December,1866-11-12,Celestia Webster,cold,"Eune is feeling very badly today and Mrs. W is also on the sick list...Vernelia has a hard cold, and I find that I have a cold too"
December,1866-12-12,Celestia Webster,cold, I was very tired and almost sick and my head ached considerable my eyes felt very bad
December,1866-13-12,Celestia Webster,cold,I was tired out; having talked so much and I have such a cold.
December,1866-14-12,Celestia Webster,cold,my cold is no better and it hurts me to talk aloud
December,1866-16-12,Celestia Webster,cold,I have a hard cold and am trying to get rid of it
