month,date,name,sickness,quote
January,1866-01-01,"Lawrence ""Father"" Webster",death,Awoke early and for a long time lay thinking of my dearly beloved father who was taken from us just one month ago today.
January ,1866-02-01,"Lawrence ""Father"" Webster",death,After telling Mrs. A. of father’s sickness I went to Dixson Coe’s where I stayed the night and had a very interesting visit... Spent some time aftering thinking of the departed and loved ones still living
January,1866-24-01,"Lawrence ""Father"" Webster",death,After service was conclud [sic] Eld Stowell came and talked with me a few moments. He said he had not heard of father’s death till I spoke of it.
January,1866-31-01,"Lawrence ""Father"" Webster",death,"Without Jerry, just as we used to be, when father was with us. Now Father sleeps in the grave yard and we his family were here alone."
February,1866-03-02,"Lawrence ""Father"" Webster",death,We all feel the loneliness of the place without father for our guide and counselor O may God be the one we all shall choose to look to for strength and support to be our father for evermore.
February,1866-13-02,"Lawrence ""Father"" Webster",death,We girls spent some time talking of father or rather things connected with him
February,1866-15-02,"Lawrence ""Father"" Webster",death," How different now to what it used to be when father was alive, then when the time for prayer meeting rolled around (unless sickness prevented) he always repaired to the house of prayer, and if no one else were present there with his Maker and his God he would pour out his soul in prayer to Him and sing songs of his praise to his great and holy name finding that by so doing he enjoyed sweat heavenly commission with God his Father"
March,1866-11-03,"Lawrence ""Father"" Webster",death,Wet and Florence went to sabbath school but only one other person was present The interest in the Sabbath school seems to be waning I do so miss the meetings since father died and we are obliged to remain at home so much.
March,1866-18-03,"Lawrence ""Father"" Webster",death,"Went to Mary’s about eleven o’clock, met uncle Elisha there, it being the first time I had seen him since fathers funeral, I was interested by his conversation and those of my cousins, It does me good enjoy the society of those connected to me by the ties of relationship to mingle my tears with theirs for the loss of those dear to me."
March,1866-25-03,"Lawrence ""Father"" Webster",death,"Many things reminded us of my father and I could not control my feelings, the tears would start in spite of myself. Daily I am reminded of the one who lies now quietly sleeping in Jesus. My life sometimes seems to me almost like a blank not productive daily of good as it should ever be"
April ,1866-01-04,"Lawrence ""Father"" Webster",death,"My heart is sad at the remembrance, that for the third time our family circle was broken four months ago today, then the head of our family our noble christian father was torn from our embrace by the rude hand of Death"
April ,1866-08-04,"Lawrence ""Father"" Webster",death,"A lovely Sabbath has again rolled by and for the first time since fathers deaths have we been permitted to assemble in the school house for to listen to one of the watchmen of the Lord, and at the same time that father used to hold meetings"
April ,1866-13-04,"Lawrence ""Father"" Webster",death,"How forcibly am I reminded of the death of my beloved father, & I seem to live over again those anxious day of Nov. last & when I saw Mr. D. yesterday I could but think of his fathers dying moments, and the agonizing feeling we then had. I felt that had I no more hope than I should think they could have. I could ill endure it
"
May,,,,
June,,,,
July,1866-01-07,"Lawrence ""Father"" Webster",death,Six months ago today father breathed his last.
July,1866-30-07,"Lawrence ""Father"" Webster",death,"Since my last birthday sad, bitter change have taken place A loved father has been taken from us, We left a fatherless group of children with our widowed mother Oh how deeply we feel his loss. "
August,1866-28-08,"Lawrence ""Father"" Webster",death,Mr. A. is absent from home. Mary Coe stays with her sister. Had a very pleasant visit with them. Talked of those of my friends who lie nearest my heart and of father who has so lately been taken from us.
September,,,,
October,1866-11-10,"Lawrence ""Father"" Webster",death,Oh! what a sad sad time we are having a little over ten months since father died and we are called to drink the cup of affli[ction?]
October,1866-14-10,"Lawrence ""Father"" Webster",death,"how sad the thought we gathered around the coffin, and gazed for the last time on the cold, inanimate form of our loved one [Wealthy] who was sleeping in the sleep of death, but who we have reason to believe will awaken when the trumpet sounds, will awake to live and reign with Christ in his everlasting kingdom. She remarked that father and Birdie would be there, and she was in hopes she would be there, and she wondered if we would all meet there. God help us to live so that we may meet there."
October,1866-18-10,"Lawrence ""Father"" Webster",death,"My occupation has constantly reminded me of my dear sister, who has so lately been taken from us, and also of my much loved father, who was with us one year ago now both are sleeping there last long sleep."
November,1866-20-11,"Lawrence ""Father"" Webster",death,"Oh how often I think of father and sister Wet and long to see them knowing it is impossible. I want every day of my life, to be passed in such a manner that when the summons come for me to join them, I may be ready"
December,1866-01-12,"Lawrence ""Father"" Webster",death,"Just one year ago tonight I stood by the bedside of my dying father, watched him as his life ebbed away. The past year has been very sad and lonely. It has been fraught with sorrow. Life has been so strange with me."
December,1866-30-12,"Lawrence ""Father"" Webster",death,The [music] pieces reminded me forcibly of my dear father for many times I have heard him sing some of them.
December,1866-31-12,"Lawrence ""Father"" Webster",death,"I have thought of of home many many times, and I have thought “oh that I could be at home and have father, sisters, and brother departed there with the living ones” and it seems that I showed then be happy. But then something might mar my happiness.My father, in heaven help me to be contented with my lot; to ever look to the to guide and direct my ways, and enable me to make each year of my life, more useful than the proceeding."
